accmart,5.98,0,"3,344"
other,5.98,0,"1,468"
other,6.84,0,60
other,6.85,0,113
other,6.94,0,340
other,6.98,0,48
http://www.amazon.com/gp/offer-listing/B003E2T13S,26/03/2014,,
eformart,0.89,$0.79 ,"9,650"
smart,1.68,0,"9,347"
other,1.69,0,165
other,1.69,0,"5,514"
other,1.69,0,227
overfeel,1.69,0,"2,990"
HKSELLER,1.69,0,"6,369"
space,1.69,0,"5,429"
other,1.7,0,337
ELE,1.7,0,"1,574"
http://www.amazon.com/gp/offer-listing/B003KXEDVQ,26/03/2014,,
ELE,4.6,0,"1,574"
other,4.7,0,"2,870"
other,2.24,$2.49 ,"1,464"
other,4.74,0,13
other,4.74,0,337
accmart,4.8,0,"3,344"
other,4.84,0,"1,929"
other,4.92,0,"1,927"
eformart,4.13,$0.79 ,"9,650"
other,5.01,0,227
http://www.amazon.com/gp/offer-listing/B004I0FK6M,26/03/2014,,
accmart,1.43,0,"3,344"
eformart,0.64,$0.79 ,"9,650"
other,1.44,0,"4,903"
ELE,1.44,0,"1,574"
other,1.44,0,"1,468"
other,1.44,0,"1,365"
other,0.76,$0.69 ,"1,450"
other,1.45,0,84
other,1.45,0,155
other,1.47,0,"5,515"
http://www.amazon.com/gp/offer-listing/B007KFVQXI,26/03/2014,,
other,4.9,0,"1,927"
eformart,4.11,$0.79 ,"9,650"
other,4.95,0,"1,468"
other,4.95,0,"2,870"
other,4.96,0,"5,514"
other,4.96,0,89
other,5.15,0,814
other,5.15,0,268
other,5.18,0,"11,835"
other,5.19,0,"4,402"
http://www.amazon.com/gp/offer-listing/B00810ROQ4,26/03/2014,,
other,13.79,0,377
other,13.79,0,285
ELE,13.79,0,"1,574"
eformart,13,$0.79 ,"9,650"
other,13.79,0,23
accmart,13.89,0,"3,344"
other,14.76,0,18
other,12.57,$3.00 ,4
other,10.99,$4.59 ,2
other,15.64,0,"1,594"
http://www.amazon.com/gp/offer-listing/B0044EOQO4,26/03/2014,,
accmart,1.98,0,"3,344"
other,1.98,0,84
other,1.98,0,"4,402"
eformart,1.19,$0.79 ,"9,650"
other,1.98,0,"4,742"
other,1.99,0,"11,835"
other,1.99,0,"5,024"
ELE,2,0,"1,574"
other,2.03,0,"1,927"
other,1.34,$0.69 ,"1,450"
http://www.amazon.com/gp/offer-listing/B000V6T66C,26/03/2014,,
other,2.74,0,613
other,2.76,0,12
other,0.8,$1.99 ,880
accmart,2.85,0,"3,344"
ELE,2.85,0,"1,574"
eformart,2.06,$0.79 ,"9,650"
other,0.9,$1.99 ,84
other,1.46,$1.50 ,116
other,2.96,0,369
other,2.97,0,"31,453"
http://www.amazon.com/gp/offer-listing/B00APJL1XG,26/03/2014,,
other,9.27,0,45
eformart,8.49,$0.79 ,"9,650"
ELE,9.34,0,"1,574"
other,9.37,0,"1,468"
other,9.38,0,1
other,9.39,0,"5,515"
accmart,9.39,0,"3,344"
other,9.42,0,18
other,9.99,0,960
other,5.49,$4.99 ,"1,078"
http://www.amazon.com/gp/offer-listing/B005QWH4QA,26/03/2014,,
other,5.49,0,3
other,6.11,0,"1,468"
ELE,6.12,0,"1,574"
eformart,5.33,$0.79 ,"9,650"
accmart,6.12,0,"3,344"
other,3.14,$2.98 ,"859,346"
other,6.9,0,280
other,7.21,0,0
other,2.5,$4.99 ,"2,635"
other,7.99,0,"2,492"
http://www.amazon.com/gp/offer-listing/B007PODI1W,26/03/2014,,
accmart,3.75,0,"3,344"
other,3.76,0,"5,023"
other,3.76,0,"4,402"
other,3.77,0,"11,835"
other,3.77,0,"1,927"
eformart,2.98,$0.79 ,"9,650"
ELE,3.78,0,"1,574"
other,3.85,0,"5,239"
Meco,3.9,0,"8,847"
other,3.9,0,"1,274"
http://www.amazon.com/gp/offer-listing/B009CQC7YU,26/03/2014,,
other,2.06,0,357
other,2.06,0,40
eformart,1.29,$0.79 ,"9,650"
accmart,2.08,0,"3,344"
smart,2.08,0,"9,347"
overfeel,2.09,0,"2,990"
space,2.09,0,"5,429"
HKSELLER,2.09,0,"6,369"
other,2.1,0,10
other,2.13,0,3
http://www.amazon.com/gp/offer-listing/B004TZVKIS,26/03/2014,,
other,2.76,0,15
other,1.78,$0.99 ,"4,888"
accmart,2.77,0,"3,344"
other,2.77,0,227
other,2.78,0,84
other,2.78,0,"5,515"
other,1.86,$0.99 ,"1,955"
other,2.86,0,642
ELE,2.9,0,"1,574"
other,2.92,0,303
http://www.amazon.com/gp/offer-listing/B000BUDHNQ,26/03/2014,,
other,2.32,0,"2,492"
other,2.32,0,206
eformart,1.53,$0.79 ,"9,650"
ELE,2.32,0,"1,574"
other,2.32,0,50
accmart,2.32,0,"3,344"
other,1.8,$0.99 ,"33,240"
other,2.89,0,"31,453"
other,3,0,"1,441"
other,3.99,0,"1,070"
http://www.amazon.com/gp/offer-listing/B001MT3FMI,26/03/2014,,
other,7.09,$3.50 ,"6,132"
other,10.85,0,"1,468"
eformart,10.11,$0.79 ,"9,650"
accmart,10.99,0,"3,344"
ELE,10.99,0,"1,574"
other,11.68,$0.50 ,"256,058"
other,12.99,0,"2,885"
other,13.55,0,89
other,13.55,0,"5,515"
other,14.97,$1.99 ,57
http://www.amazon.com/gp/offer-listing/B000I23TTE,26/03/2014,,
other,2.34,0,15
other,2.35,0,399
accmart,2.38,0,"3,344"
other,2.38,0,"216,537"
other,2.38,0,226
other,2.38,0,"9,652"
other,2.38,0,588
other,2.38,0,"1,441"
eformart,1.59,$0.79 ,"9,650"
other,2.39,0,75
http://www.amazon.com/gp/offer-listing/B000UVD8B2,26/03/2014,,
accmart,4.11,0,"3,344"
other,4.12,0,"4,402"
eformart,3.33,$0.79 ,"9,650"
other,4.12,0,"5,023"
other,4.13,0,"4,742"
ELE,4.14,0,"1,574"
other,4.15,0,607
other,4.2,0,149
other,4.45,0,"1,929"
other,5.45,0,"1,441"
http://www.amazon.com/gp/offer-listing/B002JEL40A,26/03/2014,,
other,1.96,0,12
other,0.01,$1.95 ,9
other,2.17,0,417
other,2.22,0,85
accmart,2.23,0,"3,344"
eformart,1.45,$0.79 ,"9,650"
other,2.25,0,"1,468"
other,2.42,0,"142,869"
other,2.43,0,"57,892"
other,2.93,0,526
http://www.amazon.com/gp/offer-listing/B004WXJN5E,26/03/2014,,
other,8.22,0,"5,514"
other,7.25,$0.97 ,558
other,7.23,$0.99 ,300
other,4.23,$3.99 ,2
other,7.24,$0.98 ,1
accmart,8.23,0,"3,344"
ELE,8.23,0,"1,574"
eformart,7.49,$0.79 ,"9,650"
other,8.84,0,"5,496"
other,8.92,0,113
http://www.amazon.com/gp/offer-listing/B004XLAWZA,26/03/2014,,
other,7.91,0,201
accmart,7.94,0,"3,344"
eformart,7.15,$0.79 ,"9,650"
other,7.94,0,"5,515"
other,8.22,0,13
other,8.43,0,60
other,5.08,$3.99 ,0
other,9.23,0,56
other,9.66,0,232
other,9.66,0,113
http://www.amazon.com/gp/offer-listing/B005BOGI4C,26/03/2014,,
other,5.34,0,"5,024"
other,5.34,0,"4,402"
accmart,5.34,0,"3,344"
other,5.35,0,"11,835"
other,5.39,0,18
other,5.93,0,"8,934"
other,1.5,$4.49 ,412
other,2.99,$3.99 ,"1,286"
other,2.7,$4.99 ,"2,635"
other,7.69,0,"1,070"
http://www.amazon.com/gp/offer-listing/B003QH2MY6,26/03/2014,,
smart,4.86,0,"9,347"
other,4.87,0,"1,468"
ELE,4.87,0,"1,574"
accmart,4.87,0,"3,344"
space,4.87,0,"5,429"
overfeel,4.87,0,"2,990"
other,4.88,0,"1,370"
other,4.88,0,"4,903"
eformart,4.17,$0.79 ,"9,650"
other,5.49,0,"5,024"
http://www.amazon.com/gp/offer-listing/B006VFKKPI,26/03/2014,,
accmart,6.42,0,"3,344"
other,6.42,0,14
other,6.42,0,"3,821"
other,6.42,0,0
ELE,6.42,0,"1,574"
other,4.43,$1.99 ,458
other,6.43,0,1
other,6.43,0,"1,469"
eformart,5.64,$0.79 ,"9,650"
other,6.43,0,364
http://www.amazon.com/gp/offer-listing/B000FGCUSE,26/03/2014,,
eformart,10,$0.79 ,"9,650"
ELE,10.99,0,"1,574"
accmart,11,0,"3,344"
other,11.99,0,"1,061"
other,7,$4.99 ,"64,127"
other,12.3,0,"2,172"
other,12.09,$0.50 ,"256,058"
other,9.99,$4.99 ,3
other,15.97,$4.99 ,"2,868"
other,18.98,$6.98 ,"3,226"
http://www.amazon.com/gp/offer-listing/B004C4SHQY,26/03/2014,,
other,3.68,0,"6,301"
accmart,3.68,0,"3,344"
ELE,3.68,0,"1,574"
other,3.68,0,"5,514"
other,3.68,0,227
other,3.68,0,"9,652"
eformart,2.91,$0.79 ,"9,650"
other,3.76,0,"1,468"
other,0.01,$4.99 ,3
other,5.45,0,130
http://www.amazon.com/gp/offer-listing/B003YNS0SY,26/03/2014,,
other,4.24,0,67
other,4.24,0,"1,365"
other,4.75,0,"1,049"
other,4.77,0,72
other,4.77,0,"1,322"
other,5.87,0,412
other,6.26,0,"50,562"
other,7.1,0,0
other,7.7,0,588
other,7.99,0,880
http://www.amazon.com/gp/offer-listing/B00182CIB8,26/03/2014,,
accmart,2.75,0,"3,344"
eformart,1.96,$0.79 ,"9,650"
smart,2.75,0,"9,347"
ELE,2.76,0,"1,574"
other,2.76,0,"2,156"
space,2.76,0,"5,429"
overfeel,2.76,0,"2,990"
HKSELLER,2.76,0,"6,369"
other,2.77,0,149
other,2.77,0,"142,869"
http://www.amazon.com/gp/offer-listing/B0082JSOT0,26/03/2014,,
other,17.99,$0.99 ,721
other,19.99,0,0
ELE,19.99,0,"1,574"
other,20.63,0,"1,468"
eformart,19.9,$0.79 ,"9,650"
other,20.69,0,"1,098"
other,20.99,0,68
other,19.5,$4.49 ,1
other,26.67,0,"2,716"
other,24.18,$2.49 ,"216,537"
http://www.amazon.com/gp/offer-listing/B000JPCAL8,26/03/2014,,
eformart,2.16,$0.79 ,"9,650"
accmart,2.95,0,"3,344"
ELE,2.99,0,"1,574"
other,2.99,0,"5,514"
other,3.29,0,"109,719"
other,0.99,$2.50 ,"2,097"
other,2.99,$0.99 ,721
other,4.07,0,"6,132"
other,0.01,$4.09 ,147
other,1.35,$2.99 ,"20,909"
http://www.amazon.com/gp/offer-listing/B001I1KU6O,26/03/2014,,
ELE,3.2,0,"1,574"
other,3.2,0,"5,515"
eformart,2.41,$0.79 ,"9,650"
accmart,3.2,0,"3,344"
other,3.25,0,"512,669"
other,3.25,0,12
other,3.4,0,"1,468"
other,3.98,0,"142,869"
other,3.99,0,177
other,2.87,$1.89 ,982
http://www.amazon.com/gp/offer-listing/B001O7NZYG,26/03/2014,,
other,2.2,$0.99 ,"33,242"
other,3.2,0,"1,049"
accmart,3.2,0,"3,344"
ELE,3.23,0,"1,574"
other,3.87,0,"216,537"
other,3.87,0,"2,716"
other,4.04,0,"52,266"
other,1.39,$2.99 ,"20,909"
other,1.62,$2.95 ,"108,206"
other,4.72,0,0
http://www.amazon.com/gp/offer-listing/B0058D4J0Q,26/03/2014,,
other,6.7,$1.99 ,458
other,4.3,$4.39 ,"1,132"
other,8.69,0,0
eformart,8.1,$0.79 ,"9,650"
accmart,8.9,0,"3,344"
other,7.92,$1.00 ,442
other,7.92,$1.00 ,37
other,9.26,0,"5,515"
other,10.98,0,60
other,11.25,0,0
http://www.amazon.com/gp/offer-listing/B008LJRN4S,26/03/2014,,
eformart,2.21,$0.79 ,"9,650"
ELE,3,0,"1,574"
other,3,0,"1,468"
accmart,3,0,"3,344"
other,0.01,$4.99 ,"64,126"
http://www.amazon.com/gp/offer-listing/B00AGSB7MG,26/03/2014,,
eformart,10,$0.79 ,"9,650"
other,10.79,0,56
other,11.68,0,37
accmart,12.87,0,"3,344"
other,12.87,0,201
other,9.9,$2.99 ,323
other,12.89,0,60
other,15.95,0,"1,620"
other,12.79,$4.57 ,13
other,12.58,$4.99 ,8
http://www.amazon.com/gp/offer-listing/B006TS510Q,26/03/2014,,
other,6.44,0,364
other,4.45,$1.99 ,458
other,6.44,0,"3,821"
accmart,6.44,0,"3,344"
ELE,6.45,0,"1,574"
eformart,5.69,$0.79 ,"9,650"
other,6.48,0,"1,926"
other,7.5,0,0
other,8.21,0,59
other,8.22,0,340
http://www.amazon.com/gp/offer-listing/B00274QWUO,26/03/2014,,
other,2.01,0,"293,194"
ELE,2.01,0,"1,574"
other,2.01,0,"1,927"
accmart,2.02,0,"3,344"
other,2.02,0,399
other,0.11,$1.95 ,9
eformart,1.35,$0.79 ,"9,650"
other,2.15,0,"166,195"
other,1.87,$0.28 ,"48,089"
other,1.19,$0.99 ,"2,750"
http://www.amazon.com/gp/offer-listing/B001K38Z2G,26/03/2014,,
accmart,1.82,0,"3,344"
other,1.83,0,"5,514"
eformart,1.04,$0.79 ,"9,650"
other,1.83,0,165
other,1.83,0,227
smart,1.83,0,"9,347"
space,1.87,0,"5,429"
other,1.88,0,"4,901"
HKSELLER,1.88,0,"6,369"
overfeel,1.88,0,"2,990"
http://www.amazon.com/gp/offer-listing/B005N55WHI,26/03/2014,,
other,1.52,0,"5,024"
other,1.52,0,"4,402"
ELE,1.52,0,"1,574"
accmart,1.52,0,"3,344"
other,1.02,$0.50 ,307
eformart,0.74,$0.79 ,"9,650"
other,1.53,0,"11,835"
other,1.55,0,"5,514"
other,1.55,0,"1,468"
other,1.6,0,642
http://www.amazon.com/gp/offer-listing/B004SW9Q38,26/03/2014,,
ELE,7.12,0,"1,574"
eformart,6.34,$0.79 ,"9,650"
other,5.14,$1.99 ,458
smart,7.13,0,"9,347"
space,7.14,0,"5,429"
HKSELLER,7.14,0,"6,369"
overfeel,7.14,0,"2,990"
other,6.3,$0.99 ,300
other,6.32,$0.97 ,558
other,6.31,$0.98 ,1
http://www.amazon.com/gp/offer-listing/B004WXJN5E,26/03/2014,,
other,8.22,0,"5,515"
other,7.25,$0.97 ,558
other,7.23,$0.99 ,300
other,4.23,$3.99 ,2
other,7.24,$0.98 ,1
accmart,8.23,0,"3,344"
ELE,8.23,0,"1,574"
eformart,7.49,$0.79 ,"9,650"
other,8.84,0,"5,496"
other,8.92,0,113
