other,2.29,0,818,,other,2.29,0,818,,,,
http://www.amazon.com/gp/offer-listing/B002FFZGCU,27/03/2014,,,,http://www.amazon.com/gp/offer-listing/B002FFZGCU,27/03/2014,,,,,,
other,3,$0.50 ,"256,077",,other,3,$0.50 ,"256,077",,,,
ELE,4.55,0,"1,573",,ELE,4.55,0,"1,573",,,,
other,4.55,0,"1,474",,other,4.55,0,"1,474",,,,
eformart,3.76,$0.79 ,"9,653",,eformart,3.76,$0.79 ,"9,653",,,,
smart,4.55,0,"9,362",,smart,4.55,0,"9,362",,,,
accmart,4.56,0,"3,346",,accmart,4.56,0,"3,346",,,,
HKSELLER,4.56,0,"6,374",,HKSELLER,4.56,0,"6,374",,,,
overfeel,4.56,0,"3,000",,overfeel,4.56,0,"3,000",,,,
space,4.56,0,"5,433",,space,4.56,0,"5,433",,,,
other,3.8,$0.99 ,"1,960",,other,3.8,$0.99 ,"1,960",,,,
http://www.amazon.com/gp/offer-listing/B002FFZGCU,27/03/2014,,,,http://www.amazon.com/gp/offer-listing/B002FFZGCU,27/03/2014,,,,,,
other,3,$0.50 ,"256,077",,other,3,$0.50 ,"256,077",,,,
ELE,4.55,0,"1,573",,ELE,4.55,0,"1,573",,,,
other,4.55,0,"1,474",,other,4.55,0,"1,474",,,,
eformart,3.76,$0.79 ,"9,653",,eformart,3.76,$0.79 ,"9,653",,,,
smart,4.55,0,"9,363",,smart,4.55,0,"9,363",,,,
accmart,4.56,0,"3,346",,accmart,4.56,0,"3,346",,,,
HKSELLER,4.56,0,"6,374",,HKSELLER,4.56,0,"6,374",,,,
overfeel,4.56,0,"3,000",,overfeel,4.56,0,"3,000",,,,
space,4.56,0,"5,433",,space,4.56,0,"5,433",,,,
other,3.8,$0.99 ,"1,960",,other,3.8,$0.99 ,"1,960",,,,
http://www.amazon.com/gp/offer-listing/B0010HE6LG,27/03/2014,,,,http://www.amazon.com/gp/offer-listing/B0010HE6LG,27/03/2014,,,,,,
other,3.59,0,160,,other,3.59,0,160,,,,
other,3.6,0,"15,992",,other,3.6,0,"15,994",,,,
other,3.61,0,"4,544",,other,3.61,0,"4,544",,,,
other,3.61,0,"4,758",,other,3.61,0,"4,758",,,,
other,3.63,0,85,,other,3.63,0,85,,,,
other,3.64,0,"1,474",,other,3.64,0,"1,474",,,,
other,3.65,0,0,,other,3.65,0,0,,,,
accmart,3.65,0,"3,346",,accmart,3.65,0,"3,346",,,,
ELE,3.68,0,"1,573",,other,2.69,$0.99 ,"1,960",,,,
other,2.69,$0.99 ,"1,960",,ELE,3.68,0,"1,573",,,,
http://www.amazon.com/gp/offer-listing/B003SWLRLS,27/03/2014,,,,http://www.amazon.com/gp/offer-listing/B003SWLRLS,27/03/2014,,,,,,
smart,4.75,0,"9,363",,smart,4.75,0,"9,362",,,,
other,4.76,0,646,,other,4.76,0,646,,,,
space,4.76,0,"5,433",,overfeel,4.76,0,"3,000",,,,
overfeel,4.76,0,"3,000",,space,4.76,0,"5,433",,,,
HKSELLER,4.76,0,"6,374",,HKSELLER,4.76,0,"6,374",,,,
other,4.77,0,6,,other,4.77,0,6,,,,
other,4.78,0,85,,other,4.78,0,"1,474",,,,
other,4.78,0,"1,474",,other,4.78,0,85,,,,
eformart,4.01,$0.79 ,"9,653",,eformart,4.01,$0.79 ,"9,653",,,,
other,4.81,0,436,,ELE,4.81,0,"1,573",,,,
http://www.amazon.com/gp/offer-listing/B002BFLALA,27/03/2014,,,,http://www.amazon.com/gp/offer-listing/B002BFLALA,27/03/2014,,,,,,
other,0.17,$1.95 ,9,,other,0.17,$1.95 ,9,,,,
other,2.13,0,"1,278",,ELE,2.13,0,"1,573",,,,
accmart,2.13,0,"3,346",,other,2.13,0,"1,279",,,,
ELE,2.13,0,"1,573",,accmart,2.13,0,"3,346",,,,
eformart,1.35,$0.79 ,"9,653",,eformart,1.35,$0.79 ,"9,653",,,,
other,2.15,0,"166,207",,other,2.15,0,"166,207",,,,
other,3.7,0,"7,372",,other,3.7,0,"7,372",,,,
other,3.48,$0.28 ,"48,089",,other,3.48,$0.28 ,"48,089",,,,
other,3.97,0,"43,881",,other,3.97,0,"43,883",,,,
other,4.99,0,"11,787",,other,4.99,0,"11,787",,,,
http://www.amazon.com/gp/offer-listing/B004TXPWV6,27/03/2014,,,,http://www.amazon.com/gp/offer-listing/B004TXPWV6,27/03/2014,,,,,,
other,3.9,0,15,,other,3.9,0,15,,,,
other,3.91,0,89,,eformart,3.12,$0.79 ,"9,653",,,,
other,3.91,0,"5,530",,other,3.91,0,89,,,,
eformart,3.12,$0.79 ,"9,653",,other,3.91,0,"5,532",,,,
other,3.99,0,"1,474",,other,3.99,0,"1,474",,,,
accmart,4.2,0,"3,346",,accmart,4.2,0,"3,346",,,,
ELE,4.2,0,"1,573",,ELE,4.2,0,"1,573",,,,
other,4.5,0,"1,328",,other,4.5,0,"1,326",,,,
other,4.55,0,12,,other,4.55,0,12,,,,
other,5.75,0,369,,other,5.75,0,369,,,,
http://www.amazon.com/gp/offer-listing/B006TS510Q,27/03/2014,,,,http://www.amazon.com/gp/offer-listing/B006TS510Q,27/03/2014,,,,,,
accmart,6.44,0,"3,346",,other,6.44,0,"3,826",,,,
other,4.45,$1.99 ,462,,other,6.44,0,368,,,,
other,6.44,0,"3,826",,accmart,6.44,0,"3,346",,,,
other,6.44,0,368,,other,4.45,$1.99 ,462,,,,
ELE,6.45,0,"1,573",,ELE,6.45,0,"1,573",,,,
eformart,5.69,$0.79 ,"9,653",,other,6.48,0,"1,936",,,,
other,6.48,0,"1,936",,eformart,5.69,$0.79 ,"9,653",,,,
other,7.5,0,0,,other,7.5,0,0,,,,
other,8.21,0,59,,other,8.21,0,59,,,,
other,8.22,0,341,,other,8.22,0,341,,,,
http://www.amazon.com/gp/offer-listing/B000BV8604,27/03/2014,,,,http://www.amazon.com/gp/offer-listing/B000BV8604,27/03/2014,,,,,,
other,5.16,0,646,,other,5.16,0,646,,,,
other,5.18,0,85,,other,5.18,0,85,,,,
eformart,4.41,$0.79 ,"9,653",,eformart,4.41,$0.79 ,"9,653",,,,
other,4.21,$0.99 ,"1,960",,other,4.21,$0.99 ,"1,960",,,,
other,4.27,$0.99 ,"4,893",,other,4.27,$0.99 ,"4,893",,,,
other,4.54,$0.73 ,"5,365",,other,4.54,$0.73 ,"5,365",,,,
other,5.27,0,"8,936",,other,5.27,0,"8,936",,,,
other,5.39,0,0,,other,5.39,0,0,,,,
other,4.49,$0.98 ,889,,other,4.49,$0.98 ,889,,,,
accmart,5.57,0,"3,346",,accmart,5.57,0,"3,346",,,,
http://www.amazon.com/gp/offer-listing/B003VX3S3Y,27/03/2014,,,,http://www.amazon.com/gp/offer-listing/B003VX3S3Y,27/03/2014,,,,,,
other,2.33,0,"3,388",,other,2.33,0,"3,388",,,,
smart,2.33,0,"9,363",,smart,2.33,0,"9,363",,,,
other,2.34,0,83,,other,2.34,0,83,,,,
other,2.34,0,0,,other,2.34,0,0,,,,
other,2.34,0,157,,other,2.34,0,157,,,,
space,2.34,0,"5,433",,space,2.34,0,"5,433",,,,
HKSELLER,2.34,0,"6,374",,HKSELLER,2.34,0,"6,374",,,,
overfeel,2.34,0,"3,000",,overfeel,2.34,0,"3,000",,,,
other,2.37,0,1,,other,2.37,0,1,,,,
other,2.4,0,0,,other,2.4,0,0,,,,
http://www.amazon.com/gp/offer-listing/B005LTBCKM,27/03/2014,,,,http://www.amazon.com/gp/offer-listing/B005LTBCKM,27/03/2014,,,,,,
ELE,5.93,0,"1,573",,other,5.93,0,"5,532",,,,
other,5.93,0,"5,530",,ELE,5.93,0,"1,573",,,,
eformart,5.19,$0.79 ,"9,653",,eformart,5.19,$0.79 ,"9,653",,,,
other,5.98,0,"1,474",,other,5.98,0,"1,473",,,,
accmart,5.99,0,"3,346",,accmart,5.99,0,"3,346",,,,
other,6.84,0,60,,other,6.84,0,60,,,,
other,6.85,0,116,,other,6.85,0,116,,,,
other,6.94,0,341,,other,6.94,0,341,,,,
other,7.17,0,793,,other,7.17,0,793,,,,
other,7.86,0,58,,other,7.86,0,57,,,,
http://www.amazon.com/gp/offer-listing/B003E2T13S,27/03/2014,,,,http://www.amazon.com/gp/offer-listing/B003E2T13S,27/03/2014,,,,,,
eformart,0.89,$0.79 ,"9,653",,eformart,0.89,$0.79 ,"9,653",,,,
