http://www.amazon.com/gp/offer-listing/B004TXPWV6,26/03/2014,,,#VALUE!,,
other,3.86,0,15,3.86,,
other,3.9,0,201,3.9,,
other,3.91,0,"5,515",3.91,,
other,3.91,0,"1,468",3.91,,
accmart,4.2,0,"3,344",4.2,,
ELE,4.2,0,"1,574",4.2,,
eformart,3.7,$0.79 ,"9,650",4.49,,
other,4.5,0,"1,322",4.5,,
other,4.55,0,12,4.55,,
other,5.75,0,369,5.75,,
http://www.amazon.com/gp/offer-listing/B006TS510Q,26/03/2014,,,#VALUE!,,
other,4.45,$1.99 ,458,6.44,,
accmart,6.44,0,"3,344",6.44,,
other,6.44,0,"3,821",6.44,,
other,6.44,0,365,6.44,,
ELE,6.47,0,"1,574",6.47,,
eformart,5.69,$0.79 ,"9,650",6.48,,
other,6.48,0,"1,924",6.48,,
other,7.5,0,0,7.5,,
other,8.21,0,59,8.21,,
other,8.22,0,340,8.22,,
http://www.amazon.com/gp/offer-listing/B000BV8604,26/03/2014,,,#VALUE!,,
other,5.18,0,84,5.18,,
other,5.18,0,0,5.18,,
other,4.21,$0.99 ,"1,956",5.2,,
eformart,4.41,$0.79 ,"9,650",5.2,,
other,5.26,0,"1,391",5.26,,
other,5.26,0,642,5.26,,
other,4.27,$0.99 ,"4,888",5.26,,
other,4.54,$0.73 ,"5,359",5.27,,
other,5.27,0,"8,933",5.27,,
other,4.49,$0.98 ,886,5.47,,
http://www.amazon.com/gp/offer-listing/B003VX3S3Y,26/03/2014,,,#VALUE!,,
other,2.34,0,83,2.34,,
other,2.34,0,0,2.34,,
other,2.35,0,"3,359",2.35,,
smart,2.35,0,"9,346",2.35,,
space,2.36,0,"5,429",2.36,,
HKSELLER,2.36,0,"6,369",2.36,,
overfeel,2.36,0,"2,989",2.36,,
other,2.37,0,155,2.37,,
other,2.37,0,1,2.37,,
other,2.4,0,0,2.4,,
http://www.amazon.com/gp/offer-listing/B005LTBCKM,26/03/2014,,,#VALUE!,,
ELE,5.93,0,"1,574",5.93,,
other,5.98,0,"5,515",5.98,,
other,5.98,0,"1,468",5.98,,
other,5.98,0,201,5.98,,
accmart,5.98,0,"3,344",5.98,,
eformart,5.19,$0.79 ,"9,650",5.98,,
other,6.84,0,60,6.84,,
other,6.85,0,113,6.85,,
